,title,brand,price,rating,reviewCount,description,categories
45,Graphic Printed T-Shirt for Unisex Sweet Dreams Tshirt | Casual Half Sleeve Round Neck T-Shirt | 100% Cotton | D00119-395,CreativiT,499,No reviews,,"We bring to you comfortable t-shirts in attractive color combinations and amazing prices. Our wide range of t-shirts are designed to make you stand apart, no matter what the occasion. With a wide of colour and fabric options, these t-shirts offer great quality at an undeniable price.",Mens-wear
46,Graphic Printed T-Shirt for Unisex Marathi Quotes - Vishay Sampla Tshirt | Casual Half Sleeve Round Neck T-Shirt | 100% Cotton | D00064-26,CreativiT,499,5.0,2,"We bring to you comfortable t-shirts in attractive color combinations and amazing prices. Our wide range of t-shirts are designed to make you stand apart, no matter what the occasion. With a wide of colour and fabric options, these t-shirts offer great quality at an undeniable price.",Mens-wear
47,Men's Slim Fit T-Shirt,Allen Solly,519,No reviews,,Classic Chest brand carrier CASUAL T - SHIRT,Mens-wear
48,Men's Slim T-shirt,Van Heusen Flex,549,4.2,14,Look suave and stylish T-shirt from van heusen flex by van heusen,Mens-wear
49,Anime T Shirt Combo,Fans Army,999,4.4,11,"All our products are crafted passionately with Love and Care for our beloved customers. We provide a variety of products in a wide range of different brands to cater to the needs of present generation youth. When you need some new basic anime printed T-Shirt to allow your statement pieces to shine or some cool and trendy latest designs to flaunt your fashion and attitude you can always trust our products.Suitable for casual wear, outdoor, daily, school, working, camping, sports, athletics, and so on. Fits to wear with denim pants, jogger trousers, sweatpants, sneakers, or running shoes. Each Design Has Slight Difference About Sizes on Length, Shoulder, Chest, and Sleeve. Choose a size, you will see the details.Notice:1. Due to the light and screen difference, the item's color may be slightly different from the pictures.2. Please allow 1-2cm differences due to manual measurement.            Thank you for your kindly understanding.",Mens-wear
50,Cotton Printed T-shirts,Hangout Hub,756,4.0,186,"Shop from a wide range of T-Shirt from Hangout Hub. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
51,Cotton Oversized Loose Fit Drop Shoulder Round Neck Black Half Sleeve Printed T-Shirt for Men.,Generic,499,Previous page,,"A Oversized t-shirt for men made from 100% cotton fabric, Bio washed, 180 GSM. Pair it with your jeans to give it a perfect look . This Oversized t-shirt is a best choice for your party or casual look.",Mens-wear
52,|Official The Lion King: Hakuna Matata Mens and Boys T-Shirts | Full Sleeve| Loose fit Graphic Printed| 80% Cotton 20% Polyester Black & Purple Color Oversized Full Sleeve T-Shirts,The Souled Store,"1,343",Previous page,,"Official Licensed Lion King Hakuna Matata Oversized T-Shirts""It means no worries for the rest of your days."" If you live by this philosophy then this Lion King: Hakuna Matata Oversized T-Shirt is for you. The Souled Store brings you the coolest merch for all your favourite movies, shows, and characters.This t-shirt for men, is a dark green and black, with cool graphics inspired from the movie. Wear it for that streetstyle edge, when you step out for a casual event.The Souled Store's Lion King: Hakuna Matata Oversized T-Shirt is the perfect choice to show off your love for a legendary piece of cinematic art while still looking stylish as ever.",Mens-wear
53,Men Printed T-shirt,Bewakoof,479,2.5,3,Men's Red The Batman Oversized Fit T-shirt,Mens-wear
54,Cotton Lion Printed Shirt,fanideaz,999,4.8,7,"Attain ultimate comfort and royal status by wearing this ultra-comfortable graphic printed T shirt featuring a Real Boss from the best selling online brand FanIdeaz.Crafted out of smooth cotton fabric, this T shirt is highly durable, light felt comfort wear. This round neck T shirt can be worn for just any occasion, a casual day at work or for a fun filled weekend. Team up these fashionable T shirts with blue denims and sneakers when you are planning it for a day out with friends. Known for chic appeal and premium craft, If you want export quality t-shirts, you are at the correct page. It's one of the Top Selling t-shirt and Most liked printed t-shirt available in India. Best Couples tshirts available in the market.",Mens-wear
55,Boys' Regular Short Sleeves T-shirt,Lion King by Wear Your Mind,199,5.0,2,"Red Lion King T-shirt has, a Round Neck and Short Sleeves",Mens-wear
56,Men's Polo,U.S. POLO ASSN.,"1,399",3.8,142,U.S. Polo Assn. Men's Cotton Slim Fit Solid Ivory T-Shirt,Mens-wear
