,title,brand,price,rating,reviewCount,description,categories
31,Family-Sibling- Women's Cotton Printed Regular Fit T-Shirts (Pack of 2) Big Sister Little Sister,Hangout Hub,599,4.3,172,"Exclusively Designed And Distributed By Hangout Hub a brand by RITSON SERVICES to make him/her feel special; loved and important.Express your love by gifting a set of couple/Sibling/Family Tshirts from our beautiful collection of printed Tshirts.Pair them with matching bottom wears and accessories to look gorgeous and trendy.Our Tshirt will quickly become one of your favourites. Queries:If you have any queries/inquiries; please feel free to contact RITSON SERVICES via email or \Message Center\"" in your Amazon \""Your Account\"" page; we will be happy to get back to you within 24 hours. Disclaimer:Images are as close to actual products as possible. Though computer screen and lights make a difference; do take that into consideration. Disclosure:This is an exclusive product from Hangout Hub a brand by RITSON SERVICES. The information; images contained is copyrighted by RITSON SERVICES and may not be distributed; modified; reproduced in whole or in part without the prior;handwritten and signed consent by RITSON SERVICES.",Mens-wear
32,Football Jersey for Boys and menSAN Man_UTD Third KIT Home Jersey Messi ARGENTENA 22/23 10 Sports Tshirt for Men 2022-23,Generic,626,Previous page,,"Fit Type: Regular Fit Very comforting 100 % polyester Wash:- Gentle Hand Wash, Do Not Bleach, Dry in Shade",Mens-wear
33,BTS Taehyung Favourite Wear White T-Shirt,The Korhean Store,468,4.2,31,"Actual product may slightly differ from digital images. Material: 100% Cotton (180 gsm Bio-Washed & Pre-Shrunk for Minimum shrinkage) Wash Care: Cold wash. Machine wash, use mild detergent, dry in shade, do not iron directly or scrub on print, do not bleach, and do not tumble dry. Size: Sizes may vary by +/- 0.5 inches and it totally considered normal.",Mens-wear
34,Mahadev om namh Shivay Printed Cotton Unisex Black Hoodie mg,MG Brand,899,Previous page,,"Shop from a wide range of T-Shirt and Hoodies from MG Brand . You can match it with a pair of coloured jeans or chinos, and casual shoes for a day out with friends.",Mens-wear
35,Men Polo,Levi's,589,3.7,155,The polo shirt is an enduring silhouette with endless functionality. It gives you the comfort of a tee; but is upgraded with refined details for a slightly stepped-up look.,Mens-wear
36,Men's Polyester Polo Half Sleeve T-Shirt (MTOR31_P),TECHNOSPORT,465,4.0,1,"Give your casual outfit an uber-cool update with this Polyester Shirt Minimally fashionable and super rich in comfort, this Polyester shirt can be worn perfectly and a pair of sneakers Stylish Shirt for men, Casual T-Shirt ,Partywear Shirt with Soft Fabric T-Shir t with attractive pattern from Jump Cuts , Its a perfect choice for your cart. With best quality, satisfy our valuable customer. This Shirt offers a casual look for man and boys.",Mens-wear
37,Polo T-Shirt,Generic,249,Previous page,,"Green solid T-shirt, has a polo collar, and short sleeves",Mens-wear
38,|Official Round Neck PSG: Messi Mens and Boy Oversized T-Shirts|Half Sleeve Graphic Printed|80% Cotton 20% Polyester Navy Blue Color Oversized T-Shirts,The Souled Store,"1,049",4.0,3,"Official Licensed PSG Oversized T-shirtIci C'est Paris!Join Messi & co. by sporting this kick-ass PSG collection, now exclusively available at The Souled Store.",Mens-wear
39,Men T-Shirt,Puma,"1,799",Previous page,,"PRODUCT STORY: Calling all true F1 fans– our Mercedes-AMG Petronas Motorsport F1 Printed Logo Tee was made for you. Nothing quite says ""I love F1"" like this eye-catching all-over design. FEATURES & BENEFITS Cotton: Cotton in PUMA products comes from farms with a focus on sustainable farming such as water efficiency and soil health protection. Learn more: https://about.puma.com/forever-better Recycled Content: Made with at least 20% recycled material as a step toward a better future DETAILS Regular fit Crewneck Printed Mercedes-AMG Petronas Motorsport F1 badge embedded on the sleeve PUMA Cat Logo on the sleeve",Mens-wear
40,Lewis Hamilton F1 Printed Round Neck Black T-Shirt for Men's,Quote Marshals,599,3.5,2,,Mens-wear
